nhom,loai,ten,n_buoc,co_mat_pct,MAE,RelMAE,ME,MPE_pct,sMAPE_pct,WAPE_pct,do_phu_pct
J00-J06,thanh_vien_don_le,seasonal_trend,68,100.0,63.578,1.229,11.634,9.144,54.248,49.975,
J00-J06,thanh_vien_don_le,poisson_trend,68,100.0,54.694,1.057,23.263,18.285,40.737,42.992,
J00-J06,thanh_vien_don_le,harmonic_poisson_weather,68,100.0,40.189,0.777,2.019,1.587,34.51,31.59,
J00-J06,thanh_vien_don_le,sarimax_weather,68,97.1,26.8,0.518,-3.556,-2.795,26.83,21.066,
J00-J06,thanh_vien_don_le,ets,68,100.0,28.289,0.547,0.468,0.368,24.745,22.237,
J00-J06,thanh_vien_don_le,xgb,68,91.2,34.596,0.669,-17.573,-13.813,40.106,27.194,
J00-J06,thanh_vien_don_le,prophet,68,86.8,125.312,2.422,50.075,39.361,87.749,98.5,
J09-J18,thanh_vien_don_le,seasonal_trend,68,100.0,47.138,0.908,-24.617,-23.574,55.875,45.14,
J09-J18,thanh_vien_don_le,poisson_trend,68,100.0,37.896,0.73,-12.261,-11.741,41.083,36.29,
J09-J18,thanh_vien_don_le,harmonic_poisson_weather,68,100.0,35.589,0.686,-17.943,-17.182,38.872,34.08,
J09-J18,thanh_vien_don_le,sarimax_weather,68,97.1,18.681,0.36,-6.311,-6.044,27.254,17.89,
J09-J18,thanh_vien_don_le,ets,68,100.0,20.486,0.395,-1.434,-1.373,26.156,19.618,
J09-J18,thanh_vien_don_le,xgb,68,91.2,24.542,0.473,-15.282,-14.634,42.3,23.502,
J09-J18,thanh_vien_don_le,prophet,68,70.6,67.679,1.304,-11.941,-11.435,104.907,64.81,
J20-J22,thanh_vien_don_le,seasonal_trend,67,100.0,29.913,0.981,9.861,18.012,62.06,54.64,
J20-J22,thanh_vien_don_le,poisson_trend,67,100.0,28.423,0.932,13.215,24.139,52.902,51.918,
J20-J22,thanh_vien_don_le,harmonic_poisson_weather,67,100.0,23.026,0.755,6.222,11.365,44.074,42.06,
J20-J22,thanh_vien_don_le,sarimax_weather,67,97.0,17.076,0.56,-1.518,-2.773,41.06,31.191,
J20-J22,thanh_vien_don_le,ets,67,100.0,17.641,0.578,1.616,2.951,38.545,32.223,
J20-J22,thanh_vien_don_le,xgb,67,91.0,17.396,0.57,-7.369,-13.459,48.893,31.775,
J20-J22,thanh_vien_don_le,prophet,67,91.0,57.215,1.875,29.337,53.588,107.691,104.51,
J00-J06,to_hop_inv_mae_bias,san_xuat_5tv,68,,26.695,0.516,-0.69,-0.543,23.346,20.983,86.7
J09-J18,to_hop_inv_mae_bias,san_xuat_5tv,68,,19.559,0.377,-3.095,-2.964,23.718,18.73,80.0
J20-J22,to_hop_inv_mae_bias,san_xuat_5tv,67,,16.503,0.541,2.263,4.134,35.765,30.144,84.7
J00-J06,to_hop_inv_mae_bias,san_xuat+xgb,68,,25.918,0.501,-1.489,-1.17,22.936,20.372,90.0
J09-J18,to_hop_inv_mae_bias,san_xuat+xgb,68,,19.631,0.378,-3.574,-3.423,23.917,18.798,81.7
J20-J22,to_hop_inv_mae_bias,san_xuat+xgb,67,,16.465,0.54,1.536,2.807,35.698,30.074,86.4
J00-J06,to_hop_inv_mae_bias,san_xuat+prophet,68,,28.852,0.558,0.157,0.123,24.885,22.679,86.7
J09-J18,to_hop_inv_mae_bias,san_xuat+prophet,68,,21.137,0.407,-1.794,-1.718,24.961,20.241,80.0
J20-J22,to_hop_inv_mae_bias,san_xuat+prophet,67,,15.942,0.523,2.245,4.101,34.385,29.119,84.7
J00-J06,to_hop_inv_mae_bias,san_xuat+xgb+prophet,68,,27.843,0.538,-0.965,-0.758,24.402,21.885,88.3
J09-J18,to_hop_inv_mae_bias,san_xuat+xgb+prophet,68,,20.976,0.404,-2.486,-2.381,25.005,20.087,78.3
J20-J22,to_hop_inv_mae_bias,san_xuat+xgb+prophet,67,,15.805,0.518,1.387,2.534,34.392,28.869,84.7
J00-J06,to_hop_inv_mae_bias,chi_sarimax+ets,68,,25.609,0.495,-0.105,-0.082,23.029,20.129,86.7
J09-J18,to_hop_inv_mae_bias,chi_sarimax+ets,68,,19.345,0.373,1.17,1.121,23.351,18.525,93.3
J20-J22,to_hop_inv_mae_bias,chi_sarimax+ets,67,,17.71,0.581,2.42,4.42,37.825,32.35,88.1
J00-J06,to_hop_inv_mae_bias,sarimax+ets+xgb,68,,24.766,0.479,-1.438,-1.13,22.426,19.467,81.7
J09-J18,to_hop_inv_mae_bias,sarimax+ets+xgb,68,,18.802,0.362,-0.338,-0.324,22.969,18.005,88.3
J20-J22,to_hop_inv_mae_bias,sarimax+ets+xgb,67,,17.208,0.564,1.339,2.446,37.174,31.432,84.7
