nhom,bien_the,n_buoc,MAE,RelMAE,ME,MPE_pct,sMAPE_pct,WAPE_pct,do_phu_pct,he_so_lech_tb,trong_so_cuoi
J00-J06,mean,68.0,39.08,0.755,8.982,7.06,31.949,30.718,88.333,1.0,"{""seasonal_trend"": 0.25, ""poisson_trend"": 0.25, ""harmonic_poisson_weather"": 0.25, ""sarimax_weather"": 0.25}"
J00-J06,inv_mae,68.0,27.567,0.533,2.325,1.827,24.115,21.668,88.333,1.0,"{""seasonal_trend"": 0.28, ""poisson_trend"": 0.184, ""harmonic_poisson_weather"": 0.249, ""sarimax_weather"": 0.288}"
J00-J06,mean+bias,68.0,38.203,0.738,4.772,3.751,32.233,30.029,88.333,0.961,"{""seasonal_trend"": 0.25, ""poisson_trend"": 0.25, ""harmonic_poisson_weather"": 0.25, ""sarimax_weather"": 0.25}"
J00-J06,inv_mae+bias,68.0,28.443,0.55,-0.354,-0.278,24.945,22.357,88.333,0.974,"{""seasonal_trend"": 0.28, ""poisson_trend"": 0.184, ""harmonic_poisson_weather"": 0.249, ""sarimax_weather"": 0.288}"
J00-J06,mean+ets,68.0,33.826,0.654,7.31,5.746,28.107,26.588,86.667,1.0,"{""seasonal_trend"": 0.2, ""poisson_trend"": 0.2, ""harmonic_poisson_weather"": 0.2, ""sarimax_weather"": 0.2, ""ets"": 0.2}"
J00-J06,inv_mae+ets,68.0,26.099,0.504,1.76,1.383,22.768,20.515,85.0,1.0,"{""seasonal_trend"": 0.216, ""poisson_trend"": 0.142, ""harmonic_poisson_weather"": 0.192, ""sarimax_weather"": 0.222, ""ets"": 0.228}"
J00-J06,mean+bias+ets,68.0,33.923,0.656,4.928,3.873,28.798,26.664,88.333,0.973,"{""seasonal_trend"": 0.2, ""poisson_trend"": 0.2, ""harmonic_poisson_weather"": 0.2, ""sarimax_weather"": 0.2, ""ets"": 0.2}"
J00-J06,inv_mae+bias+ets,68.0,26.695,0.516,-0.69,-0.543,23.346,20.983,86.667,0.977,"{""seasonal_trend"": 0.216, ""poisson_trend"": 0.142, ""harmonic_poisson_weather"": 0.192, ""sarimax_weather"": 0.222, ""ets"": 0.228}"
J09-J18,mean,68.0,30.83,0.594,-15.135,-14.493,33.197,29.523,68.333,1.0,"{""seasonal_trend"": 0.25, ""poisson_trend"": 0.25, ""harmonic_poisson_weather"": 0.25, ""sarimax_weather"": 0.25}"
J09-J18,inv_mae,68.0,22.906,0.441,-11.213,-10.738,26.098,21.935,76.667,1.0,"{""seasonal_trend"": 0.106, ""poisson_trend"": 0.199, ""harmonic_poisson_weather"": 0.142, ""sarimax_weather"": 0.553}"
J09-J18,mean+bias,68.0,24.476,0.472,-7.014,-6.717,28.532,23.439,76.667,1.046,"{""seasonal_trend"": 0.25, ""poisson_trend"": 0.25, ""harmonic_poisson_weather"": 0.25, ""sarimax_weather"": 0.25}"
J09-J18,inv_mae+bias,68.0,22.131,0.426,-3.232,-3.095,25.165,21.193,76.667,1.046,"{""seasonal_trend"": 0.106, ""poisson_trend"": 0.199, ""harmonic_poisson_weather"": 0.142, ""sarimax_weather"": 0.553}"
J09-J18,mean+ets,68.0,26.412,0.509,-12.38,-11.855,29.721,25.292,73.333,1.0,"{""seasonal_trend"": 0.2, ""poisson_trend"": 0.2, ""harmonic_poisson_weather"": 0.2, ""sarimax_weather"": 0.2, ""ets"": 0.2}"
