nhom,n_ma,n_buoc,phuong_an,MAE,RMSE,RelMAE,ME,MPE_pct,sMAPE_pct,WAPE_pct
J00-J06,7,68,Bottom-up,12.886,17.52,0.652,0.729,1.419,42.088,39.298
J00-J06,7,68,Top-down cố định,12.784,17.817,0.659,-1.233,-2.395,41.822,39.384
J00-J06,7,68,Top-down động (EWMA),10.636,15.031,0.547,-0.527,-2.021,35.751,32.721
J00-J06,7,68,Hoà giải OLS (trước gọi nhầm là MinT),12.05,16.563,0.621,0.055,-1.21,42.228,37.573
J09-J18,10,68,Bottom-up,22.891,29.763,0.546,-11.01,-12.731,34.291,29.206
J09-J18,10,68,Top-down cố định,17.318,23.766,0.439,-3.716,-7.472,29.726,23.394
J09-J18,10,68,Top-down động (EWMA),16.3,22.429,0.413,-2.878,-5.728,29.623,21.943
J09-J18,10,68,Hoà giải OLS (trước gọi nhầm là MinT),21.977,28.759,0.569,-11.07,-11.595,35.789,29.659
J20-J22,3,67,Bottom-up,18.748,24.438,0.617,6.11,11.143,39.764,34.35
J20-J22,3,67,Top-down cố định,16.423,21.987,0.542,2.257,3.952,35.974,30.235
J20-J22,3,67,Top-down động (EWMA),16.381,21.985,0.541,2.284,4.009,35.849,30.15
J20-J22,3,67,Hoà giải OLS (trước gọi nhầm là MinT),17.793,23.172,0.587,4.656,8.338,38.452,32.746
TỔNG HỢP,,,Bottom-up,18.175,23.907,0.605,-1.39,-0.057,38.714,34.285
TỔNG HỢP,,,Top-down cố định,15.508,21.19,0.547,-0.897,-1.972,35.841,31.004
TỔNG HỢP,,,Top-down động (EWMA),14.439,19.815,0.5,-0.374,-1.247,33.741,28.271
TỔNG HỢP,,,Hoà giải OLS (trước gọi nhầm là MinT),17.273,22.831,0.592,-2.12,-1.489,38.823,33.326
