nhom,phuong_an,MAE,RMSE,RelMAE,ME,MPE_pct,sMAPE_pct,WAPE_pct
J00-J06,bottom_up,12.887,17.522,0.652,0.73,1.422,42.09,39.301
J00-J06,top_down_fixed,12.787,17.828,0.659,-1.242,-2.42,41.809,39.392
J00-J06,top_down_dynamic,10.641,15.046,0.547,-0.536,-2.047,35.728,32.736
J00-J06,ols_reconcile,12.053,16.566,0.621,0.052,-1.221,42.241,37.584
J09-J18,bottom_up,22.886,29.762,0.546,-11.015,-12.738,34.266,29.201
J09-J18,top_down_fixed,17.352,23.789,0.44,-3.625,-7.372,29.665,23.43
J09-J18,top_down_dynamic,16.334,22.448,0.414,-2.789,-5.627,29.568,21.983
J09-J18,ols_reconcile,21.963,28.754,0.569,-11.064,-11.56,35.768,29.662
J20-J22,bottom_up,18.746,24.439,0.617,6.116,11.152,39.762,34.347
J20-J22,top_down_fixed,16.438,21.989,0.543,2.249,3.936,35.991,30.263
J20-J22,top_down_dynamic,16.396,21.986,0.541,2.276,3.994,35.866,30.177
J20-J22,ols_reconcile,17.795,23.173,0.587,4.658,8.341,38.455,32.75
