period,block_code,icd_code,year,month,cases,is_covid,is_complete
2019-01,J00-J06,J00,2019,1,1,False,1
2019-02,J00-J06,J00,2019,2,3,False,1
2019-03,J00-J06,J00,2019,3,2,False,1
2019-04,J00-J06,J00,2019,4,4,False,1
2019-05,J00-J06,J00,2019,5,7,False,1
2019-06,J00-J06,J00,2019,6,6,False,1
2019-07,J00-J06,J00,2019,7,11,False,1
2019-08,J00-J06,J00,2019,8,9,False,1
2019-09,J00-J06,J00,2019,9,12,False,1
2019-10,J00-J06,J00,2019,10,22,False,1
2019-11,J00-J06,J00,2019,11,5,False,1
2019-12,J00-J06,J00,2019,12,13,False,1
2020-01,J00-J06,J00,2020,1,14,True,1
2020-02,J00-J06,J00,2020,2,18,True,1
2020-03,J00-J06,J00,2020,3,1,True,1
2020-04,J00-J06,J00,2020,4,2,True,1
2020-06,J00-J06,J00,2020,6,7,True,1
2020-07,J00-J06,J00,2020,7,3,True,1
2020-08,J00-J06,J00,2020,8,1,True,1
2020-09,J00-J06,J00,2020,9,1,True,1
2020-10,J00-J06,J00,2020,10,9,True,1
2020-11,J00-J06,J00,2020,11,5,True,1
2020-12,J00-J06,J00,2020,12,6,True,1
2021-01,J00-J06,J00,2021,1,3,True,1
2021-02,J00-J06,J00,2021,2,1,True,1
2021-03,J00-J06,J00,2021,3,3,True,1
2021-05,J00-J06,J00,2021,5,2,True,1
2021-06,J00-J06,J00,2021,6,2,True,1
2021-08,J00-J06,J00,2021,8,2,True,1
2021-10,J00-J06,J00,2021,10,1,True,1
2022-01,J00-J06,J00,2022,1,2,False,1
2022-02,J00-J06,J00,2022,2,1,False,1
2022-04,J00-J06,J00,2022,4,1,False,1
2022-05,J00-J06,J00,2022,5,2,False,1
2022-06,J00-J06,J00,2022,6,4,False,1
2022-07,J00-J06,J00,2022,7,4,False,1
2022-08,J00-J06,J00,2022,8,7,False,1
2022-09,J00-J06,J00,2022,9,12,False,1
2022-10,J00-J06,J00,2022,10,7,False,1
2022-11,J00-J06,J00,2022,11,8,False,1
2023-01,J00-J06,J00,2023,1,2,False,1
2023-02,J00-J06,J00,2023,2,3,False,1
2023-03,J00-J06,J00,2023,3,3,False,1
2023-04,J00-J06,J00,2023,4,2,False,1
2023-05,J00-J06,J00,2023,5,2,False,1
2023-07,J00-J06,J00,2023,7,2,False,1
2023-08,J00-J06,J00,2023,8,3,False,1
2023-09,J00-J06,J00,2023,9,2,False,1
2023-10,J00-J06,J00,2023,10,1,False,1
2023-11,J00-J06,J00,2023,11,3,False,1
2023-12,J00-J06,J00,2023,12,4,False,1
2024-01,J00-J06,J00,2024,1,4,False,1
2024-02,J00-J06,J00,2024,2,1,False,1
2024-03,J00-J06,J00,2024,3,3,False,1
2024-04,J00-J06,J00,2024,4,2,False,1
2024-05,J00-J06,J00,2024,5,2,False,1
2024-06,J00-J06,J00,2024,6,2,False,1
2024-07,J00-J06,J00,2024,7,2,False,1
2024-08,J00-J06,J00,2024,8,1,False,1
2024-09,J00-J06,J00,2024,9,4,False,1
2024-10,J00-J06,J00,2024,10,11,False,1
2024-11,J00-J06,J00,2024,11,7,False,1
2024-12,J00-J06,J00,2024,12,4,False,1
2025-01,J00-J06,J00,2025,1,3,False,1
2025-02,J00-J06,J00,2025,2,1,False,1
