period,block_code,year,month,cases,is_covid,is_complete,temp,humidity,rainfall,temp_lag1,temp_lag2,humidity_lag1,humidity_lag2,rainfall_lag1,rainfall_lag2
2019-01,J00-J06,2019,1,16,False,1,26.82,68.39,9.7,,,,,,
2019-02,J00-J06,2019,2,9,False,1,28.03,63.39,2.5,26.82,,68.39,,9.7,
2019-03,J00-J06,2019,3,24,False,1,28.9,66.97,9.5,28.03,26.82,63.39,68.39,2.5,9.7
2019-04,J00-J06,2019,4,26,False,1,30.02,69.07,38.1,28.9,28.03,66.97,63.39,9.5,2.5
2019-05,J00-J06,2019,5,37,False,1,28.84,81.77,234.6,30.02,28.9,69.07,66.97,38.1,9.5
2019-06,J00-J06,2019,6,68,False,1,27.84,85.77,182.3,28.84,30.02,81.77,69.07,234.6,38.1
2019-07,J00-J06,2019,7,110,False,1,27.38,85.39,269.6,27.84,28.84,85.77,81.77,182.3,234.6
2019-08,J00-J06,2019,8,163,False,1,27.2,85.9,281.4,27.38,27.84,85.39,85.77,269.6,182.3
2019-09,J00-J06,2019,9,145,False,1,26.94,85.93,308.1,27.2,27.38,85.9,85.39,281.4,269.6
2019-10,J00-J06,2019,10,191,False,1,27.48,83.03,127.2,26.94,27.2,85.93,85.9,308.1,281.4
2019-11,J00-J06,2019,11,220,False,1,26.83,80.83,91.9,27.48,26.94,83.03,85.93,127.2,308.1
2019-12,J00-J06,2019,12,222,False,1,26.85,67.87,2.8,26.83,27.48,80.83,83.03,91.9,127.2
2020-01,J00-J06,2020,1,147,True,1,27.64,65.16,2.6,26.85,26.83,67.87,80.83,2.8,91.9
2020-02,J00-J06,2020,2,169,True,1,27.87,59.86,3,27.64,26.85,65.16,67.87,2.6,2.8
2020-03,J00-J06,2020,3,118,True,1,28.98,66.77,4.7,27.87,27.64,59.86,65.16,3,2.6
2020-04,J00-J06,2020,4,79,True,1,29.17,72.6,52.4,28.98,27.87,66.77,59.86,4.7,3
2020-05,J00-J06,2020,5,109,True,1,29.92,75.84,143,29.17,28.98,72.6,66.77,52.4,4.7
2020-06,J00-J06,2020,6,163,True,1,27.59,86.13,394.8,29.92,29.17,75.84,72.6,143,52.4
2020-07,J00-J06,2020,7,136,True,1,27.52,85.84,280,27.59,29.92,86.13,75.84,394.8,143
2020-08,J00-J06,2020,8,87,True,1,27.55,85.13,276.2,27.52,27.59,85.84,86.13,280,394.8
2020-09,J00-J06,2020,9,119,True,1,27.3,86.13,330.2,27.55,27.52,85.13,85.84,276.2,280
2020-10,J00-J06,2020,10,204,True,1,26.32,88.68,411.1,27.3,27.55,86.13,85.13,330.2,276.2
2020-11,J00-J06,2020,11,131,True,1,26.92,82.47,135.4,26.32,27.3,88.68,86.13,411.1,330.2
2020-12,J00-J06,2020,12,170,True,1,26.83,74.26,62.4,26.92,26.32,82.47,88.68,135.4,411.1
2021-01,J00-J06,2021,1,166,True,1,26.61,64.81,21,26.83,26.92,74.26,82.47,62.4,135.4
2021-02,J00-J06,2021,2,90,True,1,26.57,67.89,11.6,26.61,26.83,64.81,74.26,21,62.4
2021-03,J00-J06,2021,3,109,True,1,28.75,65.55,10.8,26.57,26.61,67.89,64.81,11.6,21
2021-04,J00-J06,2021,4,126,True,1,28.16,78.3,240.6,28.75,26.57,65.55,67.89,10.8,11.6
2021-05,J00-J06,2021,5,110,True,1,28.4,82.39,265.3,28.16,28.75,78.3,65.55,240.6,10.8
2021-06,J00-J06,2021,6,76,True,1,27.92,84.13,182.2,28.4,28.16,82.39,78.3,265.3,240.6
2021-07,J00-J06,2021,7,36,True,1,27.38,85.29,303.7,27.92,28.4,84.13,82.39,182.2,265.3
2021-08,J00-J06,2021,8,67,True,1,27.33,85.16,306.8,27.38,27.92,85.29,84.13,303.7,182.2
2021-09,J00-J06,2021,9,40,True,1,26.81,86.77,387.7,27.33,27.38,85.16,85.29,306.8,303.7
2021-10,J00-J06,2021,10,29,True,1,26.62,86.9,374.7,26.81,27.33,86.77,85.16,387.7,306.8
2021-11,J00-J06,2021,11,52,True,1,26.51,86.2,258.6,26.62,26.81,86.9,86.77,374.7,387.7
2021-12,J00-J06,2021,12,72,True,1,26.15,76.84,20.4,26.51,26.62,86.2,86.9,258.6,374.7
2022-01,J00-J06,2022,1,55,False,1,27.29,68.45,9.1,26.15,26.51,76.84,86.2,20.4,258.6
